CLASS,LABEL,ERROR,LATENT_DISTANCE,EMBEDDING_DISTANCE,TYPE_DATASET
Diving-Side,5,183.92813,9.743745,22.071537,TRAIN
Golf-Swing,4,296.70563,4.2497272,18.372335,TRAIN
Diving-Side,5,241.50418,3.9119008,17.251719,TRAIN
Golf-Swing,4,194.08493,7.2871733,19.028418,TRAIN
Swing-SideAngle,1,223.60751,4.022699,17.707674,TRAIN
Run-Side,0,177.97736,6.5064025,19.151955,TRAIN
Riding-Horse,3,248.55664,7.2383375,20.627638,TRAIN
Diving-Side,5,202.8674,3.6900854,16.34505,TRAIN
Run-Side,0,505.90482,5.647237,26.97268,TRAIN
Swing-Bench,2,186.43076,5.690898,18.406303,TRAIN
Swing-Bench,2,574.32605,6.1583867,29.611046,TRAIN
Diving-Side,5,479.2445,5.4176974,24.995796,TRAIN
Riding-Horse,3,326.97903,5.784102,20.563568,TRAIN
Run-Side,0,299.47125,7.002626,25.645752,TRAIN
Golf-Swing,4,241.20863,6.5795426,20.655386,TRAIN
Swing-SideAngle,1,184.20312,4.435278,17.334734,TRAIN
Swing-Bench,2,225.34973,7.973299,19.768993,TRAIN
Kicking,6,300.6532,9.357768,22.665161,TRAIN
Kicking,6,315.36365,7.044371,24.288403,TRAIN
Swing-Bench,2,260.73727,6.680154,20.53529,TRAIN
Run-Side,0,158.22919,5.1896873,18.591202,TRAIN
Riding-Horse,3,159.08856,6.8859816,17.170582,TRAIN
Diving-Side,5,196.27002,5.7641,17.427116,TRAIN
Kicking,6,287.77197,8.012716,25.419474,TRAIN
Run-Side,0,279.64374,3.9966705,19.455233,TRAIN
Golf-Swing,4,207.23203,8.211324,19.57067,TRAIN
Golf-Swing,4,294.9226,4.367166,20.216492,TRAIN
Swing-SideAngle,1,226.61906,3.6359217,17.22194,TRAIN
Swing-Bench,2,188.0906,6.307983,18.417507,TRAIN
Swing-Bench,2,136.50879,7.746583,19.211864,TRAIN
Swing-SideAngle,1,280.65097,4.4172535,19.241444,TRAIN
Riding-Horse,3,176.89615,4.9048395,17.560673,TRAIN
