CLASS,LABEL,ERROR,LATENT_DISTANCE,EMBEDDING_DISTANCE,TYPE_DATASET
Kicking,6,224.62067,12.332683,26.58939,TRAIN
Swing-Bench,2,119.42073,6.948659,17.45858,TRAIN
Golf-Swing,4,289.83377,5.3821273,19.59072,TRAIN
Swing-Bench,2,174.2088,5.087231,19.14406,TRAIN
Golf-Swing,4,207.5799,7.7743454,21.56799,TRAIN
Swing-SideAngle,1,393.47125,3.21173,20.599869,TRAIN
Diving-Side,5,115.013855,5.511352,13.427713,TRAIN
Kicking,6,173.05531,9.24779,22.988745,TRAIN
Run-Side,0,348.95462,6.1015296,26.408588,TRAIN
Diving-Side,5,108.84004,5.0850477,12.792869,TRAIN
Swing-Bench,2,141.60791,8.21553,18.745726,TRAIN
Kicking,6,229.04059,4.742557,19.619938,TRAIN
Swing-Bench,2,157.39369,7.8903933,19.401901,TRAIN
Golf-Swing,4,465.13318,5.8999224,25.887705,VAL
Swing-SideAngle,1,233.50623,2.317125,15.448586,VAL
Riding-Horse,3,252.07335,5.6363,19.274157,VAL
Diving-Side,5,351.50873,5.1466064,20.887098,VAL
Swing-Bench,2,575.5116,5.3156204,28.172733,VAL
Diving-Side,5,448.43872,6.2561455,23.510439,VAL
Run-Side,0,547.3315,5.564473,28.770914,VAL
Swing-Bench,2,427.96808,4.840986,23.237625,VAL
Riding-Horse,3,288.72293,5.238091,20.115627,VAL
Diving-Side,5,393.4926,5.447974,22.354462,VAL
Swing-Bench,2,472.73358,4.7028193,24.366056,VAL
Kicking,6,404.4104,4.131027,22.476597,VAL
Swing-SideAngle,1,275.3084,2.8414943,17.238941,VAL
Run-Side,0,555.61304,5.089167,27.954966,VAL
Kicking,6,550.6824,3.9319086,25.07302,VAL
Riding-Horse,3,336.763,5.87768,22.207642,VAL
Swing-SideAngle,1,195.05591,4.3200316,15.162949,VAL
Golf-Swing,4,454.59595,6.1254716,25.845995,VAL
Swing-Bench,2,227.09433,6.683354,19.713167,VAL
Kicking,6,481.48633,5.210726,22.571634,VAL
Riding-Horse,3,226.52032,5.3223925,18.922825,VAL
Kicking,6,548.8187,3.7387075,24.302547,VAL
Diving-Side,5,447.85046,6.139376,22.338661,VAL
Swing-SideAngle,1,185.61505,4.456606,15.175232,VAL
Kicking,6,516.4448,4.0954266,24.430887,VAL
Run-Side,0,473.79236,5.884926,28.191904,VAL
Golf-Swing,4,353.4264,3.53561,19.581278,VAL
Riding-Horse,3,235.3646,5.848681,19.252987,VAL
Swing-Bench,2,241.45139,5.456308,19.049015,VAL
Swing-Bench,2,439.52332,5.597984,27.067211,VAL
Diving-Side,5,379.21695,5.951831,21.768713,VAL
Run-Side,0,473.24112,5.3534718,28.273483,VAL
Golf-Swing,4,361.41672,3.7396533,20.322287,VAL
Diving-Side,5,425.69257,5.9516406,22.952147,VAL
Golf-Swing,4,487.9364,6.2038336,27.040026,VAL
Swing-Bench,2,175.6073,6.77656,18.760244,VAL
Diving-Side,5,384.3641,4.1486845,20.924572,VAL
Run-Side,0,555.4435,5.7398095,28.685268,VAL
Kicking,6,552.99744,4.3094063,25.552105,VAL
Riding-Horse,3,257.16916,4.3553896,18.2114,VAL
Swing-Bench,2,436.36026,5.216635,24.988836,VAL
Kicking,6,439.037,4.2294827,24.424318,VAL
Swing-Bench,2,239.99136,6.281367,19.898413,VAL
Swing-SideAngle,1,297.29202,3.734646,18.557493,VAL
Riding-Horse,3,271.67358,5.352187,19.016808,VAL
Golf-Swing,4,453.50168,3.9588933,23.14492,VAL
Run-Side,0,467.2925,5.9796543,27.9549,VAL
Riding-Horse,3,334.6466,5.4462705,20.641888,VAL
Golf-Swing,4,370.9802,3.3263133,20.050432,VAL
Kicking,6,462.20007,4.752596,24.382225,VAL
Run-Side,0,448.47174,5.7833185,28.72234,VAL
Golf-Swing,4,444.49603,6.0762568,26.126484,VAL
Swing-SideAngle,1,316.23184,2.9371529,17.666784,VAL
Riding-Horse,3,263.96002,4.7833457,18.946148,VAL
Golf-Swing,4,331.28482,3.446248,19.006296,VAL
Swing-SideAngle,1,220.47113,2.967344,15.3518915,VAL
Run-Side,0,565.9114,5.172683,28.627693,VAL
Swing-SideAngle,1,198.57005,2.910872,14.888072,VAL
Kicking,6,506.4749,4.3878446,24.18182,VAL
Golf-Swing,4,477.45648,5.689905,24.525194,VAL
Swing-Bench,2,163.68872,7.1210523,18.491467,VAL
Riding-Horse,3,340.89163,5.6717305,22.204912,VAL
Diving-Side,5,373.7664,3.75832,20.279333,VAL
Swing-SideAngle,1,307.77094,3.1439698,17.776358,VAL
Diving-Side,5,496.22998,6.447754,22.62018,VAL
Kicking,6,467.67365,4.4414473,23.699383,VAL
Run-Side,0,507.00043,6.0502434,28.43602,VAL
Diving-Side,5,440.8833,6.4241047,21.76065,VAL
Swing-SideAngle,1,194.44887,3.6841052,15.814269,VAL
Run-Side,0,505.5297,5.4936533,27.72854,VAL
Golf-Swing,4,303.01947,5.9936867,20.075928,TEST
Swing-Bench,2,500.49432,5.3174157,26.133213,TEST
Golf-Swing,4,263.61548,5.457664,18.961746,TEST
Kicking,6,508.92035,5.2297945,25.22885,TEST
Golf-Swing,4,467.04633,3.5540826,21.733505,TEST
Diving-Side,5,389.78387,3.8902893,21.084517,TEST
Swing-SideAngle,1,220.03087,3.7235892,16.635653,TEST
Run-Side,0,365.4098,4.2070613,21.299208,TEST
Riding-Horse,3,664.27814,3.9919024,26.75563,TEST
Run-Side,0,701.63196,3.2395027,26.308987,TEST
Swing-Bench,2,179.56845,6.0495973,18.174469,TEST
Riding-Horse,3,218.08215,5.3168635,18.980007,TEST
Swing-SideAngle,1,252.77011,3.2311137,16.562515,TEST
Run-Side,0,556.59705,3.8050237,24.39678,TEST
Kicking,6,550.49567,4.187591,23.997458,TEST
Golf-Swing,4,355.23434,3.6291072,19.496626,TEST
Riding-Horse,3,403.31036,4.8793497,22.19494,TEST
Swing-Bench,2,127.833755,7.970967,18.612879,TEST
Golf-Swing,4,536.1531,3.5833027,23.538364,TEST
Kicking,6,523.48456,3.4427307,22.812588,TEST
Swing-Bench,2,270.06073,6.9114146,21.605745,TEST
Swing-SideAngle,1,307.9601,5.0014796,20.154276,TEST
Run-Side,0,513.46954,5.8525286,25.035769,TEST
Swing-SideAngle,1,225.70555,2.8809772,15.541742,TEST
Swing-Bench,2,176.65569,6.9267163,18.281504,TEST
Golf-Swing,4,308.56213,5.1781836,19.196878,TEST
Swing-Bench,2,719.1571,5.620452,27.355282,TEST
Riding-Horse,3,747.6907,4.036703,28.79626,TEST
Swing-Bench,2,145.87463,6.973496,17.461233,TEST
Golf-Swing,4,261.00336,4.7105665,17.408882,TEST
Swing-Bench,2,151.62929,7.265222,17.784187,TEST
Kicking,6,538.1636,3.9899654,23.48877,TEST
Diving-Side,5,245.68375,3.9027781,17.354961,TEST
Riding-Horse,3,674.93475,3.8373806,27.677303,TEST
Kicking,6,415.51843,6.8646255,25.462688,TEST
Kicking,6,479.14206,5.103921,24.66131,TEST
Kicking,6,552.21594,3.977867,23.566683,TEST
Kicking,6,542.3799,4.247375,23.883682,TEST
SkateBoarding-Front,,716.026,,,ANOMALY
SkateBoarding-Front,,655.22003,,,ANOMALY
Walk-Front,,468.7606,,,ANOMALY
Lifting,,707.59045,,,ANOMALY
SkateBoarding-Front,,666.9778,,,ANOMALY
Walk-Front,,760.75037,,,ANOMALY
Walk-Front,,716.2842,,,ANOMALY
Walk-Front,,679.89655,,,ANOMALY
Lifting,,718.78973,,,ANOMALY
Walk-Front,,443.2658,,,ANOMALY
SkateBoarding-Front,,746.63855,,,ANOMALY
Walk-Front,,784.77844,,,ANOMALY
Walk-Front,,681.6044,,,ANOMALY
SkateBoarding-Front,,660.187,,,ANOMALY
Walk-Front,,715.244,,,ANOMALY
Walk-Front,,701.9416,,,ANOMALY
Lifting,,719.9878,,,ANOMALY
Walk-Front,,734.8363,,,ANOMALY
Walk-Front,,717.0298,,,ANOMALY
Walk-Front,,662.90625,,,ANOMALY
SkateBoarding-Front,,691.50696,,,ANOMALY
Lifting,,695.2121,,,ANOMALY
Walk-Front,,664.9326,,,ANOMALY
Walk-Front,,629.0645,,,ANOMALY
Walk-Front,,702.71924,,,ANOMALY
Walk-Front,,652.56866,,,ANOMALY
Lifting,,756.05896,,,ANOMALY
SkateBoarding-Front,,716.8318,,,ANOMALY
Walk-Front,,748.1633,,,ANOMALY
Walk-Front,,707.6382,,,ANOMALY
SkateBoarding-Front,,745.8645,,,ANOMALY
SkateBoarding-Front,,708.3006,,,ANOMALY
SkateBoarding-Front,,653.6058,,,ANOMALY
Walk-Front,,719.7029,,,ANOMALY
SkateBoarding-Front,,696.5705,,,ANOMALY
Walk-Front,,728.3009,,,ANOMALY
Walk-Front,,370.8839,,,ANOMALY
Lifting,,722.4495,,,ANOMALY
Walk-Front,,375.56525,,,ANOMALY
SkateBoarding-Front,,697.41235,,,ANOMALY
